str_id, str_name, str_suffix, str_city, str_soundex, str_status, str_rsvd, str_subdiv, str_juris
"6853","AMBER","DR","WINDSOR","A516","E","0","0","4"
"5983","AMBER HARVEST","LN","FORT COLLINS","A516","E","0","0","1"
"5984","AMBER WAVES","","FORT COLLINS","A516","E","0","0","1"
"11093","AMBLE ","DR","WELLINGTON","A514","P","1","997","9"
"187","AMBROSIA","CT","FORT COLLINS","A516","E","0","0","1"
"7339","AMBUSH ","DR","WELLINGTON","A512","P","0","185","9"
"188","AMELIA","CT","LOVELAND","A540","E","0","0","2"
"9120","AMERICAN CHEROKEE","WAY","ESTES PARK","A562","E","0","486","3"
"5547","AMERICAN COOT","","JOHNSTOWN","A562","P","1","0","6"
"11240","AMERICAN OAKS","ST","LOVELAND","A562","E","0","0","2"
"10829","AMERIFAX ","DR","WINDSOR","A561","P","1","967","4"
"189","AMES","CT","FORT COLLINS","A520","E","0","0","1"
"9567","AMESHE TRAIL","DR","WINDSOR","A520","P","0","511","4"
"190","AMETHYST","AVE","LOVELAND","A532","E","0","0","2"
"191","AMHERST","ST","FORT COLLINS","A562","E","0","0","1"
"7213","AMISTAD","ST","LOVELAND","A523","P","1","151","2"
"8674","AMMONS","","FORT COLLINS","A552","P","1","0","1"
"10342","AMRITA","RD","RED FEATHER LAKES","A563","P","0","898","3"
"9542","AMUNDSEN SEA","CT","LOVELAND","A553","P","0","507","2"
"192","AMY","PL","LOVELAND","A500","E","0","0","2"
"10776","AMY VAN DYKEN","WAY","FORT COLLINS","A500","E","0","0","1"
"10132","ANCESTOR","DR","WINDSOR","A522","P","0","344","4"
"193","ANCHOR","WAY","FORT COLLINS","A526","E","0","0","1"
"7280","ANCHORAGE","CT","LOVELAND","A526","P","1","47","2"
"5548","ANDERSON","","JOHNSTOWN","A536","P","1","0","6"
"194","ANDORRA","DR","LOVELAND","A536","E","0","0","2"
"7377","ANDOVER","ST","WELLINGTON","A531","P","0","187","9"
"195","ANDREA","ST","FORT COLLINS","A536","E","0","0","1"
"11386","ANDREW WYETH","","FORT COLLINS","A536","P","1","1023","1"
"5652","ANDREWS ","ST","FORT COLLINS","A536","E","0","20","3"
"7317","ANDREWS PARK","RD","LIVERMORE","A536","E","0","179","3"
"6550","ANDREWS PEAK","DR","FORT COLLINS","A536","E","0","78","1"
"7706","ANDROMEDA","DR","LOVELAND","A536","P","1","227","2"
"196","ANELDA","CT","LOVELAND","A543","E","0","0","2"
"8836","ANEMONE","LN","TIMNATH","A555","P","1","394","8"
"197","ANEMONIE","DR","LOVELAND","A555","E","0","0","2"
"198","ANEMONIE","CT","LOVELAND","A555","E","0","0","2"
"8947","ANGELICA","DR","JOHNSTOWN","A524","E","0","0","6"
"199","ANGELO","DR","FORT COLLINS","A524","E","0","0","1"
"200","ANGELO","CT","FORT COLLINS","A524","E","0","0","1"
"9976","ANGLING","RD","WINDSOR","A524","P","0","708","4"
"5757","ANGORA","DR","LOVELAND","A526","E","0","43","2"
"5289","ANGOVE","AVE","JOHNSTOWN","A521","E","0","0","6"
"6558","ANIKA ","DR","FORT COLLINS","A520","E","1","83","1"
"201","ANIMAS","PL","LOVELAND","A552","E","0","0","2"
"10062","ANIMAS RIVER","DR","WINDSOR","A552","P","0","116","4"
"202","ANITA","DR","LOVELAND","A530","E","0","0","2"
"10838","ANKINA ","DR","WINDSOR","A525","P","1","967","4"
"203","ANN","ST","FORT COLLINS","A500","E","0","0","1"
"10707","ANNA BELLE ","DR","BERTHOUD","A500","P","1","954","7"
"204","ANNABEL","LN","FORT COLLINS","A514","E","0","0","1"
"6687","ANNAPOLIS","DR","WINDSOR","A514","E","0","0","4"
"6559","ANNELISE","CT","FORT COLLINS","A542","E","0","83","1"
"205","ANTELOPE","RD","FORT COLLINS","A534","E","0","0","1"
"206","ANTELOPE","CT","WELLINGTON","A534","E","0","0","9"
"11102","ANTELOPE RACER","CT","WELLINGTON","A534","R","0","0","3"
"7774","ANTELOPE RIDGE","","LIVERMORE","A534","E","0","248","3"
"207","ANTERO","CT","FORT COLLINS","A536","E","0","0","1"
"208","ANTERO","DR","LOVELAND","A536","E","0","0","2"
"209","ANTIGUA","DR","FORT COLLINS","A532","E","0","0","1"
