latitude,longitude
40.578604,-105.108024
40.5869,-105.0792
40.58722,-105.079058
40.587322,-105.09629
40.587322,-105.09629
40.60078,-105.07179
40.595633,-105.121158
40.579798,-105.109863
40.595633,-105.121158
40.574853,-105.11906
40.574853,-105.11906
40.571885,-105.124262
40.571885,-105.124262
40.56785,-105.12618
40.56785,-105.12618
40.568922,-105.091112
40.558758,-105.131857
40.558743,-105.131867
40.558758,-105.131857
40.532037,-105.115395
40.532037,-105.115395
40.562358,-105.10608
40.562358,-105.10608
40.564682,-105.102653
40.565677,-105.102347
40.585843,-105.080922
40.564682,-105.102653
40.585843,-105.080922
40.565677,-105.102347
40.56674,-105.096238
40.56674,-105.096238
40.574768,-105.093837
40.574768,-105.093837
40.575208,-105.096475
40.575208,-105.096475
40.578055,-105.080923
40.578055,-105.080923
40.579227,-105.076862
40.579227,-105.076862
40.582157,-105.078068
40.582157,-105.078068
40.579365,-105.073998
40.579365,-105.073998
40.576645,-105.075403
40.576645,-105.075403
40.575827,-105.07644
40.575827,-105.07644
40.569063,-105.079853
40.569063,-105.079853
40.568725,-105.083833
40.568725,-105.083833
40.56709,-105.085343
40.56709,-105.085343
40.566937,-105.0783
40.566937,-105.0783
40.566583,-105.076792
40.566583,-105.076792
40.564867,-105.066817
40.564867,-105.066817
40.558003,-105.078172
40.558003,-105.078172
40.54391,-105.084135
40.56618,-105.093338
40.54391,-105.084135
40.539302,-105.083803
40.539302,-105.083803
40.5344,-105.0928
40.5344,-105.0928
40.534395,-105.09285
40.534395,-105.09285
40.539497,-105.094955
40.539497,-105.094955
40.540403,-105.092462
40.540403,-105.092462
40.541433,-105.071012
40.541433,-105.071012
40.531315,-105.075707
40.531315,-105.075707
40.503518,-105.077247
40.56618,-105.093338
40.503518,-105.077247
40.494057,-105.06932
40.494057,-105.06932
40.493975,-105.058695
40.52292,-105.05923
40.52292,-105.05923
40.493975,-105.058695
40.524653,-105.0564
40.524653,-105.0564
40.52843,-105.056852
40.52843,-105.056852
40.537925,-105.051053
40.56618,-105.093338
40.537925,-105.051053
40.538145,-105.037655
40.538145,-105.037655
40.533423,-105.03435
40.533423,-105.03435
40.56618,-105.093338
40.56618,-105.093338
40.56618,-105.093338
40.56618,-105.093338
40.554208,-105.041125
40.554208,-105.041125
40.552402,-105.048858
40.552402,-105.048858
40.552603,-105.059773
40.552603,-105.059773
40.582207,-105.006392
40.544602,-105.054063
40.582207,-105.006392
40.56618,-105.093338
40.596077,-105.017325
40.596077,-105.017325
40.544602,-105.054063
40.588897,-105.054917
40.547365,-105.064977
40.547365,-105.064977
40.525972,-105.071348
40.525983,-105.07135
40.58888,-105.054905
40.59256,-105.06893
40.59256,-105.06893
40.56618,-105.093338
40.590155,-105.07327
40.590155,-105.07327
40.58928,-105.074167
40.589298,-105.074167
40.602915,-105.072868
40.56618,-105.093338
40.591835,-105.084703
40.589823,-105.07679
40.602915,-105.072868
40.589893,-105.077145
40.589913,-105.077205
40.522955,-105.040947
40.589913,-105.077205
40.589893,-105.077145
40.56618,-105.093338
40.545755,-105.103223
40.585522,-105.079975
40.585522,-105.079975
40.58552,-105.078477
40.584592,-105.07877
40.584592,-105.07877
40.520888,-105.023703
40.520888,-105.023703
40.522412,-105.01102
40.522047,-105.011282
40.544258,-105.098338
40.586322,-105.074179
40.54543,-105.02571
40.54543,-105.02571
40.575913,-105.070345
40.575913,-105.070345
40.572613,-105.051965
40.565462,-105.037043
40.565422,-105.036987
40.565462,-105.037043
40.565422,-105.036987
40.56645,-105.038832
40.572613,-105.051965
40.5652,-105.072463
40.56645,-105.038832
40.576367,-105.026898
40.576367,-105.026898
40.5652,-105.072463
40.57849,-105.0781
40.522985,-105.04096
40.536808,-105.076383
40.57849,-105.0781
40.557729,-105.094032
40.545968,-105.096293
40.591648,-105.076315
40.545968,-105.096293
40.532253,-105.077643
40.532253,-105.077643
40.566495,-105.137263
40.566495,-105.137263
40.572638,-105.14073
40.572638,-105.14073
40.58317,-105.04273
40.545762,-105.103242
40.578935,-105.086403
40.578935,-105.086403
40.580842,-105.086268
40.580842,-105.086268
40.507512,-105.035677
40.585508,-105.090465
40.585508,-105.090465
40.58149,-105.096268
40.58149,-105.096268
40.592262,-105.095062
40.592262,-105.095062
40.593627,-105.092345
40.593627,-105.092345
40.603232,-105.095543
40.57755,-105.10319
40.556562,-105.096667
40.603232,-105.095543
40.5964,-105.108432
40.5964,-105.108432
40.574662,-105.114802
40.574782,-105.114815
40.577663,-105.120363
40.577663,-105.120363
40.545758,-105.103245
40.56618,-105.093338
40.58318,-105.04274
40.58318,-105.04274
40.588668,-105.0669
40.588668,-105.0669
40.588825,-105.068035
40.588825,-105.068035
40.5863,-105.074233
40.58631,-105.074162
40.586272,-105.07417
40.5863,-105.074233
40.586272,-105.07417
