Date,Year,Month,Scooter Trips,Bike Trips,Normal Price,College Price
4/23/2022,2022,4,752,71,0.3,0.3
4/24/2022,2022,4,386,63,0.3,0.3
4/25/2022,2022,4,449,73,0.3,0.3
4/26/2022,2022,4,566,60,0.3,0.3
4/27/2022,2022,4,627,52,0.3,0.3
4/28/2022,2022,4,749,65,0.3,0.3
4/29/2022,2022,4,723,80,0.3,0.3
4/30/2022,2022,4,846,92,0.3,0.3
5/1/2022,2022,5,550,46,0.3,0.3
5/2/2022,2022,5,632,64,0.3,0.3
5/3/2022,2022,5,528,44,0.3,0.3
5/4/2022,2022,5,410,41,0.3,0.3
5/5/2022,2022,5,883,68,0.3,0.3
5/6/2022,2022,5,931,121,0.3,0.3
5/7/2022,2022,5,962,95,0.3,0.3
5/8/2022,2022,5,630,60,0.3,0.3
5/9/2022,2022,5,552,57,0.3,0.3
5/10/2022,2022,5,727,86,0.3,0.3
5/11/2022,2022,5,776,49,0.3,0.3
5/12/2022,2022,5,856,110,0.3,0.3
5/13/2022,2022,5,1044,111,0.3,0.3
5/14/2022,2022,5,1128,182,0.3,0.3
5/15/2022,2022,5,745,95,0.3,0.3
5/16/2022,2022,5,624,85,0.3,0.3
5/17/2022,2022,5,585,66,0.3,0.3
5/18/2022,2022,5,506,59,0.3,0.3
5/19/2022,2022,5,585,104,0.3,0.3
5/20/2022,2022,5,247,40,0.3,0.3
5/21/2022,2022,5,582,116,0.3,0.3
5/22/2022,2022,5,465,116,0.3,0.3
5/23/2022,2022,5,441,90,0.3,0.3
5/24/2022,2022,5,302,42,0.3,0.3
5/25/2022,2022,5,612,75,0.3,0.3
5/26/2022,2022,5,668,82,0.3,0.3
5/27/2022,2022,5,779,100,0.3,0.3
5/28/2022,2022,5,915,109,0.3,0.3
5/29/2022,2022,5,509,84,0.3,0.3
5/30/2022,2022,5,486,77,0.3,0.3
5/31/2022,2022,5,328,48,0.3,0.3
6/1/2022,2022,6,421,70,0.3,0.3
6/2/2022,2022,6,568,126,0.3,0.3
6/3/2022,2022,6,746,98,0.3,0.3
6/4/2022,2022,6,869,134,0.3,0.3
6/5/2022,2022,6,674,96,0.3,0.3
6/6/2022,2022,6,498,67,0.3,0.3
6/7/2022,2022,6,535,90,0.3,0.3
6/8/2022,2022,6,556,113,0.3,0.3
6/9/2022,2022,6,641,90,0.3,0.3
6/10/2022,2022,6,824,115,0.3,0.3
6/11/2022,2022,6,1163,108,0.3,0.3
6/12/2022,2022,6,1127,139,0.3,0.3
6/13/2022,2022,6,685,90,0.3,0.3
6/14/2022,2022,6,699,80,0.3,0.3
6/15/2022,2022,6,778,76,0.3,0.3
6/16/2022,2022,6,813,105,0.3,0.3
6/17/2022,2022,6,951,136,0.3,0.3
6/18/2022,2022,6,945,136,0.3,0.3
6/19/2022,2022,6,784,129,0.3,0.3
6/20/2022,2022,6,580,79,0.3,0.3
6/21/2022,2022,6,683,98,0.3,0.3
6/22/2022,2022,6,708,106,0.3,0.3
6/23/2022,2022,6,836,114,0.3,0.3
6/24/2022,2022,6,957,112,0.3,0.3
6/25/2022,2022,6,896,143,0.3,0.3
6/26/2022,2022,6,780,124,0.3,0.3
6/27/2022,2022,6,539,121,0.3,0.3
6/28/2022,2022,6,492,92,0.3,0.3
